idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
3665,"[45.679896, 4.156937]","[-0.13813599999999998, 0.990413]",AS,A72 - LA PLAINE DU FOREZ EST,{'roadname': 'A72'},ASF,ST ETIENNE-NERVIEUX,
3666,"[45.682229, 4.154859]","[-0.128276, -0.991738]",AS,A72 - LA PLAINE DU FOREZ OUEST,{'roadname': 'A72'},ASF,NERVIEUX-ST ETIENNE,
3674,"[45.856051, 3.813355]","[-0.9844729999999999, -0.175539]",AS,A89 - HAUT FOREZ NORD,{'roadname': 'A89'},ASF,LYON-BORDEAUX,
3675,"[45.854997, 3.812351]","[0.9794700000000001, 0.201591]",AS,A89 - HAUT FOREZ SUD,{'roadname': 'A89'},ASF,BORDEAUX-LYON,
3680,"[45.850844, 4.225838]","[-0.7627809999999999, -0.6466569999999999]",AS,A89 - LA LOIRE,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
3699,"[45.631183, 4.819716]","[0.235821, 0.9717969999999999]",AS,A7N - SEREZIN,{'roadname': 'A7'},ASF,VIENNE-LYON,
3714,"[45.650836, 4.83495]","[-0.24226099999999998, -0.9702109999999999]",AS,A7N - SOLAIZE,{'roadname': 'A7'},ASF,LYON-VIENNE,
5172,"[43.422245, -1.596826]","[0.7071069999999999, 0.7071069999999999]",AS,A63 - BIDART EST,{'roadname': 'A63'},ASF,HENDAYE-BORDEAUX,
5173,"[43.422245, -1.587]","[-0.7071069999999999, -0.7071069999999999]",AS,A63 - BIDART OUEST,{'roadname': 'A63'},ASF,BORDEAUX-HENDAYE,
5185,"[43.585602, -1.419085]","[0.25881899999999997, 0.965926]",AS,A63 - LABENNE EST,{'roadname': 'A63'},ASF,HENDAYE-BORDEAUX,
5186,"[43.586848, -1.420449]","[-0.25881899999999997, -0.965926]",AS,A63 - LABENNE OUEST,{'roadname': 'A63'},ASF,BORDEAUX-HENDAYE,
5189,"[43.529641, -1.151701]","[-0.748724, 0.6628809999999999]",AS,A64 - HASTINGUES,{'roadname': 'A64'},ASF,TOULOUSE-BAYONNE,D
